"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","T","Total","TOTAL","Total","2018","2018",24992860,,
"AUT","Austria","T","Total","TOTAL","Total","2018","2018",8837707,,
"BEL","Belgium","T","Total","TOTAL","Total","2018","2018",11403740,,
"CAN","Canada","T","Total","TOTAL","Total","2018","2018",37058856,,
"CZE","Czech Republic","T","Total","TOTAL","Total","2018","2018",10626430,,
"DNK","Denmark","T","Total","TOTAL","Total","2018","2018",5789957,,
"FIN","Finland","T","Total","TOTAL","Total","2018","2018",5515525,,
"FRA","France","T","Total","TOTAL","Total","2018","2018",66941698,,
"DEU","Germany","T","Total","TOTAL","Total","2018","2018",82914191,,
"GRC","Greece","T","Total","TOTAL","Total","2018","2018",10725886,,
"HUN","Hungary","T","Total","TOTAL","Total","2018","2018",9767600,,
"ISL","Iceland","T","Total","TOTAL","Total","2018","2018",352722,,
"IRL","Ireland","T","Total","TOTAL","Total","2018","2018",4857015,,
"ITA","Italy","T","Total","TOTAL","Total","2018","2018",60421797,,
"JPN","Japan","T","Total","TOTAL","Total","2018","2018",126443180,,
"KOR","Korea","T","Total","TOTAL","Total","2018","2018",51635256,,
"LUX","Luxembourg","T","Total","TOTAL","Total","2018","2018",607950,,
"MEX","Mexico","T","Total","TOTAL","Total","2018","2018",125327797,,
"NLD","Netherlands","T","Total","TOTAL","Total","2018","2018",17231622,,
"NZL","New Zealand","T","Total","TOTAL","Total","2018","2018",4885500,,
"NOR","Norway","T","Total","TOTAL","Total","2018","2018",5311916,,
"POL","Poland","T","Total","TOTAL","Total","2018","2018",38413139,,
"PRT","Portugal","T","Total","TOTAL","Total","2018","2018",10283822,,
"SVK","Slovak Republic","T","Total","TOTAL","Total","2018","2018",5446771,,
"ESP","Spain","T","Total","TOTAL","Total","2018","2018",46733038,,
"SWE","Sweden","T","Total","TOTAL","Total","2018","2018",10175214,,
"CHE","Switzerland","T","Total","TOTAL","Total","2018","2018",8513227,,
"TUR","Turkey","T","Total","TOTAL","Total","2018","2018",81407211,,
"GBR","United Kingdom","T","Total","TOTAL","Total","2018","2018",66435550,,
"USA","United States","T","Total","TOTAL","Total","2018","2018",327167434,,
"CHL","Chile","T","Total","TOTAL","Total","2018","2018",18751405,,
"COL","Colombia","T","Total","TOTAL","Total","2018","2018",49834240,,
"EST","Estonia","T","Total","TOTAL","Total","2018","2018",1321977,,
"ISR","Israel","T","Total","TOTAL","Total","2018","2018",8872943,,
"LVA","Latvia","T","Total","TOTAL","Total","2018","2018",1927170,,
"LTU","Lithuania","T","Total","TOTAL","Total","2018","2018",2801541,,
"SVN","Slovenia","T","Total","TOTAL","Total","2018","2018",2070050,,
