Temperature - (Celsius), Year, Statistics, Country, ISO3
28.2684, 1991, Jan Average, Australia, AUS
27.9415, 1991, Feb Average, Australia, AUS
25.7541, 1991, Mar Average, Australia, AUS
22.2463, 1991, Apr Average, Australia, AUS
18.4007, 1991, May Average, Australia, AUS
16.6841, 1991, Jun Average, Australia, AUS
14.5126, 1991, Jul Average, Australia, AUS
16.0875, 1991, Aug Average, Australia, AUS
19.6025, 1991, Sep Average, Australia, AUS
24.0968, 1991, Oct Average, Australia, AUS
25.3554, 1991, Nov Average, Australia, AUS
26.7959, 1991, Dec Average, Australia, AUS
27.5299, 1992, Jan Average, Australia, AUS
27.4986, 1992, Feb Average, Australia, AUS
26.454, 1992, Mar Average, Australia, AUS
22.7215, 1992, Apr Average, Australia, AUS
18.2617, 1992, May Average, Australia, AUS
15.1514, 1992, Jun Average, Australia, AUS
14.7177, 1992, Jul Average, Australia, AUS
15.8972, 1992, Aug Average, Australia, AUS
18.6117, 1992, Sep Average, Australia, AUS
21.8763, 1992, Oct Average, Australia, AUS
23.8451, 1992, Nov Average, Australia, AUS
26.3492, 1992, Dec Average, Australia, AUS
28.4114, 1993, Jan Average, Australia, AUS
26.9377, 1993, Feb Average, Australia, AUS
25.6066, 1993, Mar Average, Australia, AUS
23.1719, 1993, Apr Average, Australia, AUS
18.5887, 1993, May Average, Australia, AUS
14.7781, 1993, Jun Average, Australia, AUS
15.026, 1993, Jul Average, Australia, AUS
16.4257, 1993, Aug Average, Australia, AUS
19.0132, 1993, Sep Average, Australia, AUS
21.8471, 1993, Oct Average, Australia, AUS
25.716, 1993, Nov Average, Australia, AUS
26.3739, 1993, Dec Average, Australia, AUS
28.6203, 1994, Jan Average, Australia, AUS
27.1061, 1994, Feb Average, Australia, AUS
24.7469, 1994, Mar Average, Australia, AUS
21.8727, 1994, Apr Average, Australia, AUS
18.3158, 1994, May Average, Australia, AUS
14.9882, 1994, Jun Average, Australia, AUS
14.4436, 1994, Jul Average, Australia, AUS
15.4138, 1994, Aug Average, Australia, AUS
19.1802, 1994, Sep Average, Australia, AUS
23.054, 1994, Oct Average, Australia, AUS
25.4256, 1994, Nov Average, Australia, AUS
27.9447, 1994, Dec Average, Australia, AUS
28.1464, 1995, Jan Average, Australia, AUS
26.7689, 1995, Feb Average, Australia, AUS
24.8418, 1995, Mar Average, Australia, AUS
21.2076, 1995, Apr Average, Australia, AUS
17.5488, 1995, May Average, Australia, AUS
